review_row	term	observed_direction	reviewed_category	literature_alignment	direction_assessment	confidence	rationale	citations
84	R-MMU-5684996_MAPK1_MAPK3_SIGNALING	FLT_down	blue_plausible_complementary	ERK/MAPK signaling is plausible in immune stress, but thymus direction is indirect.	FLT_down is plausible for impaired activation or growth-factor signaling.	medium	MAPK1/3 down can sit downstream of suppressed cytokine, receptor, or stress-response signaling after flight.	Novoselova2015;DaSilveira2020
85	R-MMU-9764725_NEGATIVE_REGULATION_OF_CDH1_GENE_TRANSCRIPTION	FLT_down	orange_uncertain_no_direct_support	CDH1 transcription regulation is not a direct thymus-spaceflight pathway.	FLT_down lacks direct support.	low	This narrow epithelial transcription term is difficult to connect directionally.	Okamura2024
86	R-MMU-2022090_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	FLT_up	blue_plausible_complementary	Collagen fibril assembly fits ECM/stromal remodeling, but not direct thymus direction.	FLT_up is plausible matrix remodeling.	medium	Collagen-fibril assembly may mark tissue remodeling during thymic involution.	Okamura2024;Akiyama2020
87	R-MMU-199418_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	FLT_up	blue_plausible_complementary	PI3K/AKT regulates thymocyte survival and stress responses, but flight direction is mixed.	FLT_up is plausible but not directly aligned.	medium	Negative AKT regulation could fit immune suppression or apoptosis-prone thymocytes.	Akiyama2020;Gridley2013
88	R-MMU-199991_MEMBRANE_TRAFFICKING	FLT_down	blue_plausible_complementary	Membrane trafficking can accompany immune/proteostasis remodeling, but direct thymus direction is weak.	FLT_down is plausible for reduced receptor or vesicle trafficking demand, but indirect.	low	Trafficking signal may reflect receptor recycling, secretion, or cell-composition changes.	DaSilveira2020
89	R-MMU-9958863_SLC_MEDIATED_TRANSPORT_OF_AMINO_ACIDS	FLT_down	orange_uncertain_no_direct_support	Amino-acid SLC transport lacks direct thymus-spaceflight direction evidence.	FLT_down is weakly supported.	low	This transport term is too broad for confident literature alignment.	Afshinnekoo2020
90	R-MMU-8953854_METABOLISM_OF_RNA	FLT_down	orange_uncertain_no_direct_support	RNA metabolism is part of broad gene-regulatory remodeling, but direction is not pathway-specific.	FLT_down is ambiguous.	medium	RNA metabolism down could reflect reduced proliferation, transcriptional stress, or cell-composition shifts.	Afshinnekoo2020;Lebsack2010
91	R-MMU-112316_NEURONAL_SYSTEM	FLT_down	red_conflict_or_artifact	Neuronal-system Reactome labeling is off-context for thymus.	FLT_down has no direct thymus-spaceflight support.	low	The pathway likely reflects generic receptor annotations rather than thymic biology.	Akiyama2020
92	R-MMU-9007101_RAB_REGULATION_OF_TRAFFICKING	FLT_down	blue_plausible_complementary	Vesicle/trafficking regulation is plausible under stress, but direct thymus direction is absent.	FLT_down is plausible but weak.	low	Rab trafficking down may reflect reduced receptor or secretory remodeling in stressed immune tissue.	DaSilveira2020
93	R-MMU-4839726_CHROMATIN_ORGANIZATION	FLT_up	blue_plausible_complementary	Spaceflight epigenetic/chromatin remodeling is supported broadly, but thymus direction is indirect.	FLT_up is plausible chromatin remodeling.	medium	Chromatin organization fits the spaceflight epigenetic feature.	Afshinnekoo2020;DaSilveira2020
94	R-MMU-1236975_ANTIGEN_PROCESSING_CROSS_PRESENTATION	FLT_down	blue_plausible_complementary	Cross-presentation is immune-relevant, but direct thymus flight direction is weak.	FLT_down is plausible under immune suppression, but not directly thymus-proven.	medium	Antigen cross-presentation down may reflect immune-cell composition or reduced activation-state signaling.	Akiyama2020;Winer2025
95	R-MMU-211945_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	FLT_down	red_conflict_or_artifact	Phase-I xenobiotic metabolism is off-tissue for thymus and not a known thymic flight axis.	FLT_down still reads as generic/off-context annotation.	low	This detoxification term is more liver-like than thymus-specific.	Afshinnekoo2020
96	R-MMU-163125_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	FLT_up	blue_plausible_complementary	GPI-anchor synthesis affects immune cell-surface proteins, but direct thymus direction is absent.	FLT_up is plausible but weak.	low	GPI-anchor modification could track immune receptor remodeling.	DaSilveira2020;Winer2025
97	R-MMU-216083_INTEGRIN_CELL_SURFACE_INTERACTIONS	FLT_up	blue_plausible_complementary	Integrin interactions are relevant to thymocyte adhesion/migration, but direction is indirect.	FLT_up is plausible microenvironment/trafficking remodeling.	medium	Integrin cell-surface interactions may reflect altered thymocyte-stromal adhesion.	Akiyama2020;Horie2019
98	R-MMU-1257604_PIP3_ACTIVATES_AKT_SIGNALING	FLT_up	blue_plausible_complementary	PI3K/AKT is relevant to immune survival/stress signaling, but direct direction is weak.	FLT_up is plausible but indirect.	medium	PIP3-AKT signaling could reflect survival compensation amid thymic stress.	Akiyama2020;Gridley2013
99	R-MMU-202403_TCR_SIGNALING	FLT_up	red_conflict_or_artifact	Spaceflight literature reports impaired T-cell activation/TCR-related function.	FLT_up TCR signaling conflicts with dominant functional suppression evidence.	medium	TCR signaling up is hard to reconcile with reduced thymopoiesis and T-cell activation.	Akiyama2020;Gridley2009;Lebsack2010
100	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	FLT_down	blue_plausible_complementary	Spaceflight epigenetic changes support chromatin enzyme involvement, but direct thymus direction is weak.	FLT_down is plausible for reduced chromatin-modifying demand in a less proliferative thymus, but indirect.	medium	Chromatin-modifying enzyme downshift can accompany cell-cycle suppression or broad epigenetic remodeling.	Afshinnekoo2020;DaSilveira2020
101	R-MMU-8856828_CLATHRIN_MEDIATED_ENDOCYTOSIS	FLT_up	blue_plausible_complementary	Endocytosis/trafficking can accompany immune receptor remodeling, but thymus direction is absent.	FLT_up is plausible but indirect.	low	Clathrin-mediated endocytosis may reflect receptor turnover under stress.	DaSilveira2020
102	R-MMU-112315_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	FLT_down	red_conflict_or_artifact	Chemical synapse transmission is off-context for thymus review.	FLT_down has no thymus-spaceflight support.	low	The pathway likely reflects neuronal annotation rather than thymic biology.	Akiyama2020
103	R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	FLT_up	blue_plausible_complementary	ECM degradation is plausible during thymic involution, but direction evidence is indirect.	FLT_up is compatible with tissue remodeling.	medium	Matrix degradation may accompany thymic stromal remodeling/atrophy.	Okamura2024;Akiyama2020
104	R-MMU-6809371_FORMATION_OF_THE_CORNIFIED_ENVELOPE	FLT_down	red_conflict_or_artifact	Cornified-envelope formation is a skin/keratinization program, not a thymus flight mechanism.	FLT_down still reads as off-context annotation rather than supported thymic biology.	high	This term is context-incongruent for thymus despite thymic epithelial keratin markers.	Horie2019
105	R-MMU-416482_G_ALPHA_12_13_SIGNALLING_EVENTS	FLT_up	blue_plausible_complementary	G-alpha-12/13 links GPCRs to Rho/cytoskeleton, but thymus direction is indirect.	FLT_up is plausible cytoskeletal signaling.	low	This may complement Rho-mediated altered-gravity remodeling.	Akiyama2020
106	R-MMU-383280_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	FLT_up	blue_plausible_complementary	Stress steroid/nuclear receptor remodeling is direct, but this generic nuclear receptor term is broad.	FLT_up is plausible but not receptor-specific.	medium	Nuclear receptor transcription may include glucocorticoid stress responses relevant to thymic involution.	Lebsack2010;Benjamin2016
107	R-MMU-388396_GPCR_DOWNSTREAM_SIGNALLING	FLT_up	orange_uncertain_no_direct_support	GPCR downstream signaling is broad and lacks direct thymus direction.	FLT_up is nonspecific.	low	The pathway could represent many receptor programs with mixed biology.	Akiyama2020
108	R-MMU-9709957_SENSORY_PERCEPTION	FLT_up	red_conflict_or_artifact	Sensory-perception pathways are off-context for thymus.	FLT_up has no direct thymus-spaceflight support.	low	The term likely reflects non-thymic sensory receptor annotations.	Akiyama2020
109	R-MMU-211859_BIOLOGICAL_OXIDATIONS	FLT_up	green_prior_aligned	Oxidative stress and mitochondrial redox stress are core spaceflight molecular features.	FLT_up aligns with oxidative/biological-oxidation stress.	medium	Biological oxidations fit antioxidant and mitochondrial stress responses after flight.	Afshinnekoo2020;DaSilveira2020;Baqai2009
110	R-MMU-1280215_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	FLT_up	green_prior_aligned	Cytokine signaling changes are repeatedly reported in spaceflight immune studies.	FLT_up aligns with cytokine immune remodeling.	medium	Cytokine signaling fits direct immune dysregulation and thymus/spleen expression changes.	Akiyama2020;Winer2025;Gridley2013
111	R-MMU-380108_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	FLT_up	blue_plausible_complementary	Chemokines regulate immune trafficking and are altered in spaceflight, but direction is mixed.	FLT_up is plausible but not direct.	medium	Chemokine receptor signaling may reflect leukocyte redistribution or thymic egress changes.	Akiyama2020;Winer2025
112	R-MMU-157118_SIGNALING_BY_NOTCH	FLT_up	orange_uncertain_no_direct_support	Notch is central to thymocyte development, but prior flight data emphasize loss of T-cell precursors.	FLT_up direction is uncertain and potentially compensatory.	medium	Notch up could be developmental compensation rather than aligned evidence.	Woods2003;Akiyama2020
113	R-MMU-8957275_POST_TRANSLATIONAL_PROTEIN_PHOSPHORYLATION	FLT_up	blue_plausible_complementary	Protein phosphorylation is a broad stress/immune signaling mechanism, but direction is indirect.	FLT_up is plausible signaling remodeling.	medium	Phosphorylation can reflect MAPK/TCR/cytokine pathway rewiring under flight stress.	Novoselova2015;DaSilveira2020
114	R-MMU-9748784_DRUG_ADME	FLT_up	red_conflict_or_artifact	Drug ADME is off-tissue/xenobiotic metabolism, not a thymus-spaceflight pathway.	FLT_up likely reflects generic/off-context annotation.	low	This pathway is more liver-like than thymic.	Afshinnekoo2020
115	R-MMU-9006934_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	FLT_down	blue_plausible_complementary	RTK/growth-factor signaling can influence thymic stroma, but flight direction is indirect.	FLT_down is plausible for reduced growth-factor or proliferation-linked signaling.	medium	Receptor tyrosine kinase downshift can complement reduced thymic proliferation and stromal remodeling after stress.	Gridley2013;Akiyama2020
116	R-MMU-2142753_ARACHIDONATE_METABOLISM	FLT_up	blue_plausible_complementary	Arachidonate metabolism is inflammatory lipid signaling, but direct thymus direction is weak.	FLT_up is plausible inflammatory remodeling.	medium	Arachidonate signaling can complement cytokine/innate immune dysregulation.	Winer2025;Afshinnekoo2020
117	R-MMU-416476_G_ALPHA_Q_SIGNALLING_EVENTS	FLT_down	orange_uncertain_no_direct_support	G-alpha-q signaling is broad GPCR biology without direct thymus direction.	FLT_down is nonspecific.	low	This pathway can reflect many receptor systems and is not pathway-specific.	Akiyama2020
118	R-MMU-73857_RNA_POLYMERASE_II_TRANSCRIPTION	FLT_up	orange_uncertain_no_direct_support	RNA polymerase II transcription is too broad to judge directionally.	FLT_up is ambiguous.	medium	Generic transcription can reflect stress, epigenetics, or cell-composition changes.	Afshinnekoo2020;Lebsack2010
119	R-MMU-2454202_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	FLT_up	blue_plausible_complementary	Allergy-like and Fc-receptor immune dysregulation is plausible in spaceflight, but thymus direction is weak.	FLT_up is plausible but indirect.	low	FCERI signaling may mark immune activation/hypersensitivity rather than thymus-specific evidence.	Winer2025;Crucian2018
120	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	FLT_down	blue_plausible_complementary	Rho-family cytoskeletal signaling is gravity-sensitive, but direct thymus direction is weak.	FLT_down is plausible for suppressed cytoskeletal remodeling, motility, or stromal mechanics.	medium	Rho GTPase signaling down may reflect impaired thymocyte motility or altered stromal architecture under changed gravity.	Akiyama2020;DaSilveira2020
121	R-MMU-114608_PLATELET_DEGRANULATION	FLT_down	red_conflict_or_artifact	Platelet degranulation fits reported platelet/hemostasis involvement in spaceflight immune datasets.	FLT_down conflicts with platelet pathway activation and may reflect annotation or cell-composition effects.	medium	Platelet degranulation suppression is opposite reported platelet-related DEG signals.	Han2023;Gridley2003
122	R-MMU-388841_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY	FLT_down	green_prior_aligned	Spaceflight studies report impaired T-cell activation after flight.	FLT_down CD28-family activation aligns with suppressed T-cell activation evidence.	medium	Reduced CD28-family activation is consistent with reduced thymopoiesis and T-cell functional suppression.	Akiyama2020;Gridley2009
123	R-MMU-9013149_RAC1_GTPASE_CYCLE	FLT_down	blue_plausible_complementary	Rac1/cytoskeletal signaling is plausible under altered gravity, but not direct in thymus.	FLT_down is plausible for impaired migration, adhesion, or cytoskeletal remodeling.	medium	RAC1 cycling down can complement gravity-sensitive immune-cell motility changes.	Akiyama2020;DaSilveira2020
124	R-MMU-6805567_KERATINIZATION	FLT_up	red_conflict_or_artifact	Keratinization is a skin/cornification program and off-context for thymus.	FLT_up likely reflects context-incongruent annotation.	high	Thymic epithelial keratins exist, but Reactome keratinization is not supported as a flight thymus pathway.	Horie2019
125	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	FLT_up	blue_plausible_complementary	MHC II antigen presentation is thymus/immune relevant, but direct flight direction is weak.	FLT_up is plausible immune remodeling.	medium	MHC II presentation may reflect altered antigen presentation or APC composition.	Akiyama2020;Winer2025
126	R-MMU-9851695_EPIGENETIC_REGULATION_OF_ADIPOGENESIS_GENES_BY_MLL3_AND_MLL4_COMPLEXES	FLT_up	blue_plausible_complementary	Spaceflight literature supports epigenetic and MSC adipogenic remodeling, but this term is indirect for thymus.	FLT_up is plausible epigenetic/stromal remodeling.	low	MLL3/MLL4 adipogenesis regulation is adjacent to altered MSC lineage biology, not direct thymus evidence.	Akiyama2020;Afshinnekoo2020
127	R-MMU-2168880_SCAVENGING_OF_HEME_FROM_PLASMA	FLT_up	red_conflict_or_artifact	Heme scavenging is plasma/liver-blood context rather than thymus-specific spaceflight biology.	FLT_up likely reflects off-context/blood signal.	low	The pathway is not a supported thymic flight mechanism.	Han2023
128	R-MMU-5173105_O_LINKED_GLYCOSYLATION	FLT_up	blue_plausible_complementary	O-linked glycosylation can affect immune/secretory proteins, but thymus direction is indirect.	FLT_up is plausible but weak.	low	Glycosylation may track immune receptor or extracellular protein remodeling.	DaSilveira2020;Winer2025
129	R-MMU-977606_REGULATION_OF_COMPLEMENT_CASCADE	FLT_down	blue_plausible_complementary	Complement is innate immune biology relevant to spaceflight, but thymus direction is indirect.	FLT_down is plausible under immune suppression, but complement direction is not directly thymus-proven.	medium	Complement regulation down may reflect altered innate immune state or cell composition.	Winer2025;Han2023
130	R-MMU-2559583_CELLULAR_SENESCENCE	FLT_up	green_prior_aligned	DNA damage, oxidative stress, and senescence are spaceflight molecular features.	FLT_up aligns with stress-induced senescence signaling.	medium	Cellular senescence fits the DNA-damage/telomere-stress axis.	Afshinnekoo2020;Luxton2020
131	R-MMU-9975921_ASSEMBLY_OF_THE_9_0_PRIMARY_CILIUM	FLT_down	blue_plausible_complementary	Primary cilium assembly is mechanosensory and plausible under altered gravity, but indirect.	FLT_down is plausible for impaired mechanosensory/stromal assembly, but not directly shown.	low	Primary cilium assembly down may reflect stromal or mechanosensory adaptation under low gravity.	Akiyama2020;DaSilveira2020
132	R-MMU-168898_TOLL_LIKE_RECEPTOR_CASCADES	FLT_down	green_prior_aligned	Toll-like receptor/innate signaling changes are reported in spaceflight immune studies, including impaired innate responsiveness.	FLT_down aligns with reduced innate/TLR responsiveness, though direct thymus evidence is limited.	medium	TLR cascades down fit immune-suppression literature better than a generalized activation call.	Baqai2009;Winer2025
133	R-MMU-1483257_PHOSPHOLIPID_METABOLISM	FLT_up	blue_plausible_complementary	Phospholipid metabolism links membrane, mitochondrial, and inflammatory remodeling, but direction is indirect.	FLT_up is plausible lipid remodeling.	medium	Phospholipid shifts can complement mitochondrial and phagocytic stress pathways.	DaSilveira2020;Baqai2009
134	R-MMU-8878171_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	FLT_down	blue_plausible_complementary	RUNX1 is hematopoietic/immune relevant, but direct thymus-spaceflight direction is lacking.	FLT_down is plausible for reduced hematopoietic or immune transcriptional activity, but weak.	low	RUNX1 regulation down may indicate altered immune differentiation or cell composition.	Akiyama2020;Afshinnekoo2020
135	R-MMU-5621481_C_TYPE_LECTIN_RECEPTORS_CLRS	FLT_up	blue_plausible_complementary	C-type lectin receptors are innate immune recognition pathways, but thymus direction is indirect.	FLT_up is plausible innate remodeling.	medium	CLR signaling can reflect myeloid/APC activation in immune dysregulation.	Winer2025;Han2023
136	R-MMU-2173782_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	FLT_down	blue_plausible_complementary	Scavenger receptors support innate uptake/phagocytosis, but direction in thymus is indirect.	FLT_down is plausible for impaired innate uptake/phagocytic function.	medium	Scavenger receptor uptake down can complement reported innate immune functional changes, without direct thymus proof.	Baqai2009;Winer2025
137	R-MMU-418990_ADHERENS_JUNCTIONS_INTERACTIONS	FLT_down	blue_plausible_complementary	Adherens junctions fit thymic epithelial/stromal remodeling, but direct direction is limited.	FLT_down is plausible for weakened epithelial architecture or cell-cell adhesion.	medium	Adherens junction down may reflect altered thymic epithelial organization.	Horie2019;Okamura2024
138	R-MMU-9940951_INTERACTION_OF_NURD_COMPLEXES_WITH_TRANSCRIPTION_FACTORS	FLT_up	blue_plausible_complementary	NuRD/chromatin regulation fits spaceflight epigenetic remodeling, but thymus direction is indirect.	FLT_up is plausible chromatin remodeling.	medium	NuRD-transcription factor interactions are consistent with broad epigenetic stress responses.	Afshinnekoo2020;DaSilveira2020
139	R-MMU-983231_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	FLT_up	green_prior_aligned	Platelet/megakaryocyte biology is reported in mouse spaceflight immune/hematologic studies.	FLT_up aligns with platelet-production pathway involvement.	medium	Megakaryocyte/platelet production fits platelet-related spaceflight signals.	Han2023;Gridley2003
140	R-MMU-168249_INNATE_IMMUNE_SYSTEM	FLT_up	green_prior_aligned	Innate immune dysregulation is a direct and recurrent spaceflight finding.	FLT_up aligns with innate immune activation/remodeling.	medium	Innate immune-system signal matches reported LPS, myeloid, and inflammation changes.	Baqai2009;Winer2025;Han2023
141	R-MMU-913531_INTERFERON_SIGNALING	FLT_up	orange_uncertain_no_direct_support	Interferon pathways are spaceflight-relevant, but thymus studies report mixed IFN-related directions.	FLT_up is plausible but not consistently aligned.	medium	Interferon signaling may reflect antiviral stress, yet direct thymus IFN evidence is mixed.	Gridley2009;Winer2025
142	R-MMU-983168_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	FLT_up	blue_plausible_complementary	Proteasome-mediated antigen processing is immune/stress relevant, but direction is indirect.	FLT_up is plausible antigen-processing/proteostasis remodeling.	medium	Ubiquitination-proteasome antigen processing may respond to stress and immune remodeling.	Akiyama2020;Afshinnekoo2020
143	R-MMU-5653656_VESICLE_MEDIATED_TRANSPORT	FLT_down	blue_plausible_complementary	Vesicle transport can accompany immune receptor/proteostasis remodeling, but direct direction is weak.	FLT_down is plausible but indirect.	low	Vesicle-mediated transport down is a broad trafficking signal that may reflect reduced activation or secretory demand.	DaSilveira2020
144	R-MMU-202427_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	FLT_up	red_conflict_or_artifact	Spaceflight literature supports impaired TCR/CD3 activation signaling.	FLT_up conflicts with reported T-cell activation suppression.	medium	CD3/TCR-zeta phosphorylation up is hard to reconcile with reduced T-cell activation.	Akiyama2020;Gridley2009
145	R-MMU-9769739_REGULATION_OF_CLOTTING_CASCADE	FLT_up	green_prior_aligned	Clotting/hemostasis involvement is supported by platelet-related mouse spaceflight analyses.	FLT_up aligns with coagulation/hemostasis remodeling.	medium	Regulation of clotting cascade fits the platelet/hemostasis pathway family.	Han2023;Gridley2003
146	R-MMU-72689_FORMATION_OF_A_POOL_OF_FREE_40S_SUBUNITS	FLT_up	orange_uncertain_no_direct_support	40S-subunit formation is translation/proliferation related, while thymic proliferation is reported down.	FLT_up is ambiguous and weakly supported.	medium	Translation-initiation signal could reflect stress or composition, but conflicts with reduced proliferation context.	Horie2019;DaSilveira2020
147	R-MMU-936837_ION_TRANSPORT_BY_P_TYPE_ATPASES	FLT_down	blue_plausible_complementary	P-type ATPase ion transport is plausible in stress/ion homeostasis, but direct thymus direction is absent.	FLT_down is weakly plausible for altered ion-homeostasis or activation state.	low	Ion pump signal may reflect activation or stress-state shifts.	DaSilveira2020
148	R-MMU-381426_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	FLT_up	blue_plausible_complementary	IGF/endocrine axes can affect immune organ mass, but direct flight direction is weak.	FLT_up is plausible endocrine remodeling.	low	IGF transport may reflect systemic growth/stress hormone adaptation rather than direct thymus evidence.	Benjamin2016;Akiyama2020
149	R-MMU-74160_GENE_EXPRESSION_TRANSCRIPTION	FLT_down	orange_uncertain_no_direct_support	Gene-expression/transcription changes are broad spaceflight features without pathway-specific direction.	FLT_down is ambiguous.	medium	The term is too generic to separate reduced proliferation from stress transcription or cell-composition shifts.	Afshinnekoo2020;Lebsack2010
150	R-MMU-389948_CO_INHIBITION_BY_PD_1	FLT_down	orange_uncertain_no_direct_support	T-cell suppression/exhaustion is plausible in spaceflight, but PD-1 direction is not directly shown in thymus.	FLT_down does not support a PD-1 co-inhibitory activation model.	medium	PD-1 co-inhibition down could reflect fewer activated T cells, but the specific inhibitory pathway direction is not supported.	Akiyama2020;Winer2025
151	R-MMU-177929_SIGNALING_BY_EGFR	FLT_up	blue_plausible_complementary	EGFR/growth-factor signaling can affect stromal repair, but direct thymus flight direction is weak.	FLT_up is plausible but indirect.	low	EGFR signaling may mark tissue repair/remodeling rather than direct thymocyte evidence.	Gridley2013;Akiyama2020
152	R-MMU-1428517_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	FLT_down	blue_plausible_complementary	Mitochondrial stress is a central spaceflight feature, but respiratory-chain direction in thymus is not direct.	FLT_down is consistent with mitochondrial dysfunction or suppressed respiration, with indirect thymus support.	medium	Respiratory electron transport down fits spaceflight mitochondrial stress better than activation, but remains non-thymus-specific.	DaSilveira2020;Afshinnekoo2020
153	R-MMU-1566948_ELASTIC_FIBRE_FORMATION	FLT_down	blue_plausible_complementary	Elastic-fiber formation is ECM remodeling, plausible but not directly thymus-directional.	FLT_down is plausible for reduced matrix-formation activity, but weak.	low	Elastic-fiber signal may mark stromal matrix remodeling in involution.	Okamura2024;Akiyama2020
154	R-MMU-556833_METABOLISM_OF_LIPIDS	FLT_down	blue_plausible_complementary	Lipid metabolism is recurrent in space-omics, but thymus direction is indirect.	FLT_down is plausible for metabolic suppression or mitochondrial dysfunction.	medium	Lipid metabolism down can reflect mitochondrial and inflammatory stress remodeling.	DaSilveira2020;Afshinnekoo2020
155	R-MMU-375276_PEPTIDE_LIGAND_BINDING_RECEPTORS	FLT_up	orange_uncertain_no_direct_support	Peptide ligand receptor binding is broad and not directionally resolved.	FLT_up is nonspecific.	low	The term covers many receptor systems without a clear thymus-spaceflight mechanism.	Akiyama2020
156	R-MMU-9006931_SIGNALING_BY_NUCLEAR_RECEPTORS	FLT_up	blue_plausible_complementary	Nuclear receptor/steroid stress biology is relevant, but generic receptor direction is indirect.	FLT_up is plausible endocrine stress remodeling.	medium	Nuclear receptor signaling may include glucocorticoid-driven thymic stress responses.	Lebsack2010;Benjamin2016
157	R-MMU-71387_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES	FLT_down	orange_uncertain_no_direct_support	Carbohydrate metabolism is generic and lacks thymus-specific direction evidence.	FLT_down is unsupported.	low	The pathway is too broad for a confident literature call.	Afshinnekoo2020
158	R-MMU-72766_TRANSLATION	FLT_up	orange_uncertain_no_direct_support	Translation is tied to growth/proliferation, while direct thymus literature shows reduced cycling.	FLT_up is ambiguous and not directly aligned.	medium	Translation could be stress or cell-composition signal; thymic proliferation evidence argues against simple activation.	Horie2019;DaSilveira2020
159	R-MMU-68886_M_PHASE	FLT_up	red_conflict_or_artifact	Direct thymus spaceflight literature reports reduced mitotic/cell-cycle programs.	FLT_up conflicts with flight-side suppression of M phase.	high	M-phase activation is opposite to reduced thymic proliferation.	Horie2019;Okamura2024
160	R-MMU-446728_CELL_JUNCTION_ORGANIZATION	FLT_up	blue_plausible_complementary	Cell junction organization fits thymic epithelial/stromal remodeling, but direction is indirect.	FLT_up is plausible microenvironment remodeling.	medium	Junction remodeling may reflect changes in thymic epithelial architecture.	Horie2019;Okamura2024
161	R-MMU-8953897_CELLULAR_RESPONSES_TO_STIMULI	FLT_up	blue_plausible_complementary	Cellular stimulus responses are broadly supported in spaceflight, but term is nonspecific.	FLT_up is plausible but not pathway-specific.	medium	This captures stress/stimulus biology but lacks direct thymus direction at this granularity.	Afshinnekoo2020;Lebsack2010
162	R-MMU-500792_GPCR_LIGAND_BINDING	FLT_down	orange_uncertain_no_direct_support	GPCR ligand binding is broad and lacks direct thymus-spaceflight direction evidence.	FLT_down is nonspecific.	low	The receptor family is too heterogeneous for confident alignment.	Akiyama2020
163	R-MMU-166658_COMPLEMENT_CASCADE	FLT_down	blue_plausible_complementary	Complement is innate immune biology relevant to spaceflight, but direct thymus direction is weak.	FLT_down is plausible under immune suppression, but complement direction is not directly thymus-proven.	medium	Complement cascade down may reflect altered inflammatory/innate immune state or cell composition.	Winer2025;Han2023
164	R-MMU-9716542_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	FLT_down	blue_plausible_complementary	Rho-family/Miro cytoskeletal and mitochondrial trafficking biology is plausible but indirect.	FLT_down is plausible for impaired cytoskeletal or mitochondrial-trafficking programs.	low	This term may combine cytoskeletal suppression with mitochondrial-stress responses.	Akiyama2020;DaSilveira2020
165	R-MMU-418346_PLATELET_HOMEOSTASIS	FLT_down	red_conflict_or_artifact	Platelet homeostasis fits platelet-related spaceflight immune/hematologic signals.	FLT_down conflicts with platelet pathway involvement and may reflect annotation or composition effects.	medium	Platelet homeostasis down is opposite reported platelet-related DEG and immune-study signals.	Han2023;Gridley2003
166	R-MMU-5683057_MAPK_FAMILY_SIGNALING_CASCADES	FLT_down	blue_plausible_complementary	MAPK family signaling is stress/immune relevant, but direct thymus direction is indirect.	FLT_down is plausible for suppressed cytokine, stress, or activation signaling.	medium	MAPK-family downshift can mediate impaired immune activation and altered stress responses under flight.	Novoselova2015;DaSilveira2020
167	R-MMU-2187338_VISUAL_PHOTOTRANSDUCTION	FLT_up	red_conflict_or_artifact	Visual phototransduction is off-context for thymus.	FLT_up likely reflects context-incongruent annotation.	high	No thymus/spaceflight literature supports visual phototransduction as a thymic pathway.	DaSilveira2020
168	R-MMU-9675108_NERVOUS_SYSTEM_DEVELOPMENT	FLT_up	red_conflict_or_artifact	Nervous-system development is off-context for thymus pathway labels.	FLT_up lacks thymus-spaceflight support.	low	The term likely reflects broad developmental/neural annotations rather than thymic biology.	Akiyama2020
169	R-MMU-202733_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	FLT_up	blue_plausible_complementary	Vascular-wall/platelet interaction is plausible with hemostasis signals, but thymus direction is indirect.	FLT_up is plausible but weak.	low	Vascular-wall interaction may reflect platelet/endothelial or blood-composition effects.	Han2023;Gridley2003
170	R-MMU-373076_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	FLT_up	orange_uncertain_no_direct_support	Class A rhodopsin-like GPCRs are broad and not directionally resolved in thymus.	FLT_up is nonspecific.	low	This GPCR superfamily term lacks direct thymus-spaceflight support.	Akiyama2020
